scheme_name,mean,std,sharpe_ratio
ABSL Frontline Equity Fund - Regular - Growth,0.0008517723174694551,0.009177111485957208,1.0272133278753701
ABSL Liquid Fund - Regular - Growth,0.00024154628565905978,0.00031902540821652635,-0.8155673679088272
ABSL Small Cap Fund - Regular - Growth,0.0004244528681492361,0.01625078549471168,0.16266076928646783
Axis Bluechip Fund - Direct - Growth,0.00032985864437101356,0.008808648249969934,0.12961449795669322
Axis Bluechip Fund - Regular - Growth,0.0002749789297660477,0.008788090603213455,0.03078485095458589
Axis Midcap Fund - Regular - Growth,0.0010266978562569042,0.012225334849231509,0.9982309868636403
Axis Small Cap Fund - Regular - Growth,0.00018236517391230026,0.01579046131293056,-0.07597357117478926
DSP Midcap Fund - Regular - Growth,0.0010551910655344048,0.011179029641055074,1.1321218524747254
DSP Small Cap Fund - Regular - Growth,0.0011941715475284602,0.015647858323745815,0.949795824661604
DSP Top 100 Equity Fund - Regular - Growth,0.0005222511308194414,0.009042081769919413,0.46403744922047735
HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.00047686346287115325,0.011560944277330919,0.3006119210425479
HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.0010798038431409668,0.011929006552266409,1.0936987435346308
HDFC Short Term Debt Fund - Regular - Growth,0.00017005379350090052,0.0024600734466666972,-0.5670947928476847
HDFC Top 100 Fund - Direct Plan - Growth,0.0007095223731125696,0.009240517486188763,0.7757902498211207
HDFC Top 100 Fund - Regular Plan - Growth,0.00014159930699210853,0.009164463506291045,-0.2015170675596694
ICICI Pru Bluechip Fund - Direct - Growth,0.0008430464116382315,0.009048331253877995,1.0265242847993008
ICICI Pru Bluechip Fund - Regular - Growth,0.000697595408431375,0.008746373512793114,0.7979728586052846
ICICI Pru Liquid Fund - Regular - Growth,0.0002676525413793258,0.00031113570896708256,0.49572339295331214
ICICI Pru Midcap Fund - Regular - Growth,0.0011613203372383767,0.012152155877011198,1.18010119766065
ICICI Pru Value Discovery Fund - Regular - Growth,0.0006501094769466271,0.00959432349516923,0.6488787755249528
Kotak Bluechip Fund - Regular - Growth,0.0005220152587214266,0.008481394140912235,0.49427253786723485
Kotak Emerging Equity Fund - Regular - Growth,0.0003119045881482731,0.011272610878515412,0.07599984804658917
Kotak Flexicap Fund - Regular - Growth,0.001081754914045031,0.010007860815167777,1.306743969542841
Kotak Liquid Fund - Regular - Growth,0.0002561287499929851,0.0003233593463542916,-0.08874729621557331
Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.0008250722735460028,0.009719447430866661,0.9262873467360143
Mirae Asset Large Cap Fund - Regular - Growth,0.001073675403449081,0.008941194822595979,1.4482911703262602
Mirae Asset Tax Saver Fund - Regular - Growth,0.0011240540293206527,0.011133577708427352,1.2349300257743292
Nippon India ETF Nifty 50 BeES,0.000600473969875538,0.00817862133654339,0.6648569985490621
Nippon India Gilt Securities Fund - Regular - Growth,0.00020153331311365723,0.002510653047599153,-0.356629507514368
Nippon India Large Cap Fund - Direct - Growth,0.0006163137445172902,0.008817415800853675,0.6452074382933218
Nippon India Large Cap Fund - Regular - Growth,0.0008652259973214283,0.008912624198545506,1.081659179345704
Nippon India Small Cap Fund - Regular - Growth,0.0007071093821003067,0.01590066360405823,0.44843400890899154
SBI Bluechip Fund - Direct Plan - Growth,0.0007852425930349881,0.008780976223037761,0.9532794968660109
SBI Bluechip Fund - Regular Plan - Growth,0.0009167982325947294,0.008656289856377569,1.2082665673727178
SBI Magnum Gilt Fund - Regular Plan - Growth,0.00022226830595075775,0.0024990143961777064,-0.22657538662791588
SBI Small Cap Fund - Direct Plan - Growth,0.00020131692580289563,0.015717101489290827,-0.05718662582817997
SBI Small Cap Fund - Regular Plan - Growth,0.0012010157369980656,0.015837075918187664,0.9453082575156091
UTI Flexi Cap Fund - Regular - Growth,0.000645340694310669,0.009926838079358378,0.6195175900829826
UTI Mid Cap Fund - Regular - Growth,0.0001098147223397074,0.011423709289098147,-0.20583160785470317
UTI Nifty 50 Index Fund - Regular - Growth,0.0006741587522893979,0.008086315812687744,0.817099337349437
